ReadingDate,SerialNumber,PhaseA_voltage,PhaseB_voltage,PhaseC_voltage,PhaseA_current,PhaseB_current,PhaseC_current,PhaseA_activePower,PhaseB_activePower,PhaseC_activePower,PhaseABC_activePower,PhaseA_reactivePower,PhaseB_reactivePower,PhaseC_reactivePower,PhaseABC_reactivePower,LineFrequency,MeterTemperature
05/06/24 12:22:27,55000052,128.86199951171875,129.0260009765625,128.86199951171875,14.41100025177002,16.711000442504883,12.13900089263916,1841.0,2074.0,1503.0,5418.0,188.0,-574.0,-356.0,-742.0,59.97999954223633,25.700000762939453
05/06/24 12:22:34,55000052,128.8820037841797,129.15000915527344,128.87200927734375,14.382000923156738,16.665000915527344,11.987000465393066,1839.0,2069.0,1480.0,5388.0,175.0,-566.0,-354.0,-745.0,59.96999740600586,25.700000762939453
05/06/24 12:22:41,55000052,128.8470001220703,129.04000854492188,128.78201293945312,14.391000747680664,16.8070011138916,12.205000877380371,1841.0,2088.0,1513.0,5442.0,174.0,-570.0,-349.0,-745.0,59.98999786376953,25.700000762939453
05/06/24 12:22:48,55000052,128.79200744628906,128.9860076904297,128.7670135498047,14.260000228881836,16.709001541137695,12.064000129699707,1822.0,2071.0,1493.0,5386.0,172.0,-578.0,-347.0,-753.0,59.97999954223633,25.700000762939453
05/06/24 12:22:55,55000052,128.60301208496094,128.78700256347656,128.5640106201172,25.606000900268555,28.406002044677734,23.927001953125,2981.0,3561.0,2995.0,9537.0,1421.0,860.0,683.0,2964.0,59.96999740600586,25.700000762939453
05/06/24 12:23:02,55000052,128.57901000976562,128.69300842285156,128.49400329589844,26.89200210571289,29.459001541137695,24.551000595092773,3143.0,3700.0,3073.0,9916.0,1435.0,815.0,658.0,2908.0,59.96999740600586,25.80000114440918
05/06/24 12:23:09,55000052,128.489013671875,128.73800659179688,128.47900390625,27.69300079345703,30.511001586914062,25.413002014160156,3255.0,3831.0,3185.0,10271.0,1436.0,844.0,669.0,2949.0,59.96999740600586,25.80000114440918
05/06/24 12:23:16,55000052,128.385009765625,128.58399963378906,128.44900512695312,27.94300079345703,30.790000915527344,25.809001922607422,3285.0,3867.0,3231.0,10383.0,1434.0,834.0,674.0,2942.0,59.959999084472656,25.80000114440918
05/06/24 12:23:23,55000052,128.59300231933594,128.91600036621094,128.5640106201172,27.847002029418945,30.7710018157959,25.68000030517578,3267.0,3872.0,3221.0,10360.0,1455.0,834.0,666.0,2955.0,59.97999954223633,25.80000114440918
05/06/24 12:23:30,55000052,128.5640106201172,128.84201049804688,128.57901000976562,27.441001892089844,30.189001083374023,25.20100212097168,3214.0,3794.0,3157.0,10165.0,1446.0,826.0,658.0,2930.0,60.0,25.80000114440918
05/06/24 12:23:37,55000052,128.51400756835938,128.7519989013672,128.47900390625,27.400001525878906,30.080001831054688,24.9580020904541,3208.0,3780.0,3125.0,10113.0,1445.0,820.0,656.0,2921.0,60.0,25.80000114440918
05/06/24 12:23:44,55000052,128.63800048828125,128.87200927734375,128.6529998779297,27.327001571655273,29.942001342773438,24.808000564575195,3199.0,3764.0,3108.0,10071.0,1448.0,825.0,658.0,2931.0,59.97999954223633,25.80000114440918
05/06/24 12:23:51,55000052,128.6580047607422,128.92100524902344,128.6580047607422,27.179000854492188,29.917001724243164,24.76700210571289,3183.0,3760.0,3103.0,10046.0,1443.0,832.0,658.0,2933.0,59.97999954223633,25.80000114440918
05/06/24 12:23:58,55000052,128.7080078125,128.99600219726562,128.72801208496094,27.291000366210938,30.10500144958496,24.985000610351562,3203.0,3786.0,3132.0,10121.0,1435.0,835.0,664.0,2934.0,60.0099983215332,25.80000114440918
05/06/24 12:24:05,55000052,128.8470001220703,129.11000061035156,128.89601135253906,27.423002243041992,30.16400146484375,25.042001724243164,3221.0,3796.0,3143.0,10160.0,1443.0,845.0,671.0,2959.0,60.02000045776367,25.80000114440918
05/06/24 12:24:12,55000052,128.81201171875,129.15000915527344,128.8520050048828,27.51500129699707,30.246002197265625,25.325000762939453,3232.0,3807.0,3183.0,10222.0,1447.0,847.0,662.0,2956.0,60.02000045776367,25.80000114440918
05/06/24 12:24:19,55000052,128.7519989013672,129.10000610351562,128.79200744628906,27.551000595092773,30.26000213623047,25.400001525878906,3233.0,3809.0,3187.0,10229.0,1450.0,840.0,659.0,2949.0,60.0,25.80000114440918
05/06/24 12:24:27,55000052,128.78700256347656,129.125,128.81700134277344,27.56100082397461,30.275001525878906,25.292001724243164,3235.0,3810.0,3175.0,10220.0,1449.0,844.0,659.0,2952.0,60.0099983215332,25.80000114440918
05/06/24 12:24:34,55000052,128.69300842285156,129.04000854492188,128.7570037841797,27.62900161743164,30.386001586914062,25.30500030517578,3249.0,3825.0,3178.0,10252.0,1443.0,838.0,663.0,2944.0,60.0099983215332,25.80000114440918
05/06/24 12:24:41,55000052,128.27101135253906,128.60301208496094,128.32501220703125,27.57000160217285,30.323001861572266,25.257001876831055,3230.0,3805.0,3160.0,10195.0,1433.0,827.0,648.0,2908.0,60.0,25.80000114440918
05/06/24 12:24:48,55000052,128.9510040283203,129.25401306152344,128.9510040283203,14.743000984191895,16.793001174926758,12.02500057220459,1874.0,2074.0,1474.0,5422.0,167.0,-570.0,-358.0,-761.0,59.98999786376953,25.80000114440918
05/06/24 12:24:55,55000052,128.96099853515625,129.2740020751953,128.9910125732422,14.633000373840332,16.828001022338867,11.983000755310059,1875.0,2096.0,1482.0,5453.0,169.0,-566.0,-354.0,-751.0,59.98999786376953,25.80000114440918
05/06/24 12:25:02,55000052,128.9860076904297,129.28900146484375,128.9510040283203,14.499000549316406,16.869001388549805,12.143000602722168,1856.0,2100.0,1509.0,5465.0,175.0,-568.0,-350.0,-743.0,59.97999954223633,25.700000762939453
05/06/24 12:25:09,55000052,128.93099975585938,129.36300659179688,128.93600463867188,14.304000854492188,16.780000686645508,11.874000549316406,1828.0,2087.0,1471.0,5386.0,178.0,-578.0,-344.0,-744.0,59.97999954223633,25.700000762939453
05/06/24 12:25:16,55000052,129.0360107421875,129.42300415039062,129.11000061035156,14.473000526428223,16.729000091552734,12.034000396728516,1856.0,2078.0,1492.0,5426.0,171.0,-583.0,-350.0,-762.0,59.98999786376953,25.700000762939453
05/06/24 12:25:23,55000052,129.00601196289062,129.32901000976562,128.9560089111328,14.359000205993652,16.780000686645508,12.081000328063965,1838.0,2086.0,1498.0,5422.0,186.0,-576.0,-358.0,-748.0,59.97999954223633,25.700000762939453
05/06/24 12:25:30,55000052,128.99600219726562,129.26400756835938,129.0360107421875,14.336000442504883,16.578001022338867,11.861001014709473,1834.0,2059.0,1468.0,5361.0,179.0,-574.0,-357.0,-752.0,59.97999954223633,25.700000762939453
05/06/24 12:25:37,55000052,128.9910125732422,129.29400634765625,129.04501342773438,14.305000305175781,16.606000900268555,12.123000144958496,1829.0,2063.0,1495.0,5387.0,177.0,-570.0,-363.0,-756.0,59.98999786376953,25.700000762939453
05/06/24 12:25:44,55000052,129.0900115966797,129.4130096435547,129.14500427246094,14.28700065612793,16.6200008392334,11.737000465393066,1829.0,2068.0,1453.0,5350.0,174.0,-567.0,-347.0,-740.0,59.98999786376953,25.700000762939453
05/06/24 12:25:51,55000052,129.2840118408203,129.53201293945312,129.2740020751953,14.285000801086426,16.69099998474121,11.898000717163086,1834.0,2080.0,1476.0,5390.0,163.0,-568.0,-351.0,-756.0,59.98999786376953,25.700000762939453
05/06/24 12:25:58,55000052,129.4130096435547,129.62200927734375,129.4029998779297,14.379000663757324,16.75400161743164,11.93600082397461,1847.0,2089.0,1481.0,5417.0,162.0,-572.0,-354.0,-764.0,60.029998779296875,25.700000762939453
05/06/24 12:26:05,55000052,129.26400756835938,129.57701110839844,129.21900939941406,14.37600040435791,16.66400146484375,11.951000213623047,1844.0,2077.0,1481.0,5402.0,168.0,-564.0,-358.0,-754.0,60.029998779296875,25.700000762939453
05/06/24 12:26:12,55000052,129.19400024414062,129.5170135498047,129.1890106201172,14.410000801086426,16.763999938964844,12.181000709533691,1848.0,2089.0,1509.0,5446.0,175.0,-571.0,-361.0,-757.0,60.02000045776367,25.700000762939453
05/06/24 12:26:19,55000052,128.99600219726562,129.3780059814453,129.0850067138672,14.267001152038574,16.56800079345703,12.222000122070312,1826.0,2059.0,1515.0,5400.0,177.0,-576.0,-356.0,-755.0,60.02000045776367,25.700000762939453
05/06/24 12:26:26,55000052,129.01100158691406,129.3040008544922,129.02101135253906,14.268000602722168,16.701000213623047,12.327000617980957,1826.0,2075.0,1527.0,5428.0,169.0,-578.0,-353.0,-762.0,60.029998779296875,25.700000762939453
05/06/24 12:26:33,55000052,129.00601196289062,129.31900024414062,129.0360107421875,14.37700080871582,16.80900001525879,12.14900016784668,1845.0,2092.0,1509.0,5446.0,164.0,-573.0,-342.0,-751.0,60.029998779296875,25.700000762939453
05/06/24 12:26:40,55000052,129.15000915527344,129.44300842285156,129.20401000976562,14.225000381469727,16.67500114440918,12.017000198364258,1825.0,2076.0,1489.0,5390.0,164.0,-572.0,-350.0,-758.0,60.02000045776367,25.700000762939453
05/06/24 12:26:47,55000052,129.13999938964844,129.3330078125,129.15000915527344,14.24000072479248,16.624000549316406,11.792000770568848,1825.0,2068.0,1459.0,5352.0,164.0,-564.0,-351.0,-751.0,60.02000045776367,25.700000762939453
05/06/24 12:26:54,55000052,129.3140106201172,129.49200439453125,129.3140106201172,14.386000633239746,16.671001434326172,12.040000915527344,1845.0,2076.0,1492.0,5413.0,167.0,-568.0,-355.0,-756.0,60.02000045776367,25.700000762939453
05/06/24 12:27:01,55000052,129.19900512695312,129.57701110839844,129.1850128173828,14.414000511169434,16.726001739501953,12.042000770568848,1848.0,2085.0,1493.0,5426.0,175.0,-571.0,-361.0,-757.0,60.029998779296875,25.700000762939453
05/06/24 12:27:08,55000052,129.19900512695312,129.53201293945312,129.31900024414062,14.292000770568848,16.641000747680664,12.066000938415527,1833.0,2070.0,1497.0,5400.0,179.0,-584.0,-361.0,-766.0,60.029998779296875,25.700000762939453
05/06/24 12:27:15,55000052,129.2790069580078,129.57701110839844,129.31900024414062,14.304000854492188,16.748001098632812,12.081000328063965,1835.0,2084.0,1502.0,5421.0,175.0,-582.0,-348.0,-755.0,60.029998779296875,25.700000762939453
05/06/24 12:27:22,55000052,129.3730010986328,129.77101135253906,129.42300415039062,14.26300048828125,16.738000869750977,11.871000289916992,1832.0,2086.0,1474.0,5392.0,169.0,-581.0,-342.0,-754.0,60.03999710083008,25.700000762939453
05/06/24 12:27:30,55000052,129.34300231933594,129.66600036621094,129.38800048828125,14.291000366210938,16.655000686645508,11.881000518798828,1834.0,2076.0,1474.0,5384.0,169.0,-571.0,-355.0,-757.0,60.029998779296875,25.700000762939453
05/06/24 12:27:37,55000052,129.20401000976562,129.54701232910156,129.2790069580078,14.272000312805176,16.56800079345703,11.819000244140625,1829.0,2061.0,1462.0,5352.0,171.0,-572.0,-358.0,-759.0,60.0,25.700000762939453
05/06/24 12:27:44,55000052,129.24900817871094,129.6070098876953,129.32901000976562,14.398000717163086,16.709001541137695,12.006000518798828,1847.0,2082.0,1490.0,5419.0,164.0,-570.0,-354.0,-760.0,59.98999786376953,25.700000762939453
05/06/24 12:27:51,55000052,128.8870086669922,129.239013671875,128.97100830078125,26.498001098632812,29.12900161743164,24.1200008392334,3102.0,3666.0,3022.0,9790.0,1423.0,832.0,678.0,2933.0,59.98999786376953,25.700000762939453
05/06/24 12:27:58,55000052,128.93099975585938,129.2740020751953,129.01100158691406,27.011001586914062,29.803001403808594,24.91400146484375,3168.0,3753.0,3125.0,10046.0,1434.0,841.0,684.0,2959.0,59.98999786376953,25.700000762939453
05/06/24 12:28:05,55000052,128.91600036621094,129.16000366210938,128.92100524902344,27.76000213623047,30.626001358032227,25.737001419067383,3273.0,3856.0,3231.0,10360.0,1438.0,850.0,695.0,2983.0,60.0099983215332,25.80000114440918
05/06/24 12:28:12,55000052,128.92601013183594,129.21900939941406,128.97100830078125,27.645000457763672,30.519001007080078,25.518001556396484,3258.0,3845.0,3204.0,10307.0,1437.0,852.0,691.0,2980.0,60.0099983215332,25.80000114440918
